time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
Step Information: A=10µ  (Step: 1/3)
1.474555323039910e-03	3.236150e+01	3.677227e+01	6.350718e-03	2.311713e-06
1.477609352051014e-03	3.246743e+01	3.688868e+01	6.384038e-03	2.473620e-06
1.480535334700404e-03	3.256638e+01	3.699794e+01	6.436564e-03	2.866814e-06
1.483666028384793e-03	3.266729e+01	3.711044e+01	6.535156e-03	3.743826e-06
1.487065654353341e-03	3.276819e+01	3.722497e+01	6.717583e-03	5.483737e-06
1.490930563550103e-03	3.287300e+01	3.734687e+01	7.049826e-03	8.317047e-06
1.492460533798849e-03	3.290875e+01	3.738997e+01	7.222123e-03	9.970340e-06
1.492718037498535e-03	3.291433e+01	3.739683e+01	7.254126e-03	1.028784e-05
1.492741933355520e-03	3.291193e+01	3.739463e+01	7.264396e-03	1.060655e-05
1.492789725069489e-03	3.289191e+01	3.737584e+01	7.418626e-03	1.271344e-05
1.492813419698330e-03	3.285903e+01	3.734480e+01	7.721159e-03	1.597472e-05
1.492830133030329e-03	3.280066e+01	3.728951e+01	8.254958e-03	2.168395e-05
1.492844350262434e-03	3.269967e+01	3.719371e+01	9.159768e-03	3.151647e-05
1.492858259387101e-03	3.254424e+01	3.704694e+01	1.077345e-02	4.655012e-05
1.492860663296390e-03	3.250645e+01	3.701127e+01	1.116753e-02	5.019990e-05
1.492865471114966e-03	3.240603e+01	3.691597e+01	1.203972e-02	5.994478e-05
1.492875086752118e-03	3.213878e+01	3.666248e+01	1.438572e-02	8.585168e-05
1.492886096917085e-03	3.168767e+01	3.623488e+01	1.836888e-02	1.295342e-04
1.492899721340812e-03	3.082403e+01	3.541705e+01	2.605191e-02	2.130504e-04
1.492914452686377e-03	2.939231e+01	3.406406e+01	3.913128e-02	3.511873e-04
1.492929915991735e-03	2.720495e+01	3.200291e+01	5.963744e-02	5.615968e-04
1.492946726859251e-03	2.413103e+01	2.912147e+01	8.961648e-02	8.557271e-04
1.492966333532756e-03	2.011956e+01	2.538955e+01	1.280059e-01	1.236640e-03
1.492968900002797e-03	1.960563e+01	2.491475e+01	1.327299e-01	1.285101e-03
1.492974032942881e-03	1.869427e+01	2.407876e+01	1.416349e-01	1.370445e-03
1.492984298823049e-03	1.711351e+01	2.264103e+01	1.558307e-01	1.517234e-03
1.492986844429878e-03	1.679413e+01	2.235443e+01	1.584445e-01	1.546492e-03
1.492991935643536e-03	1.631350e+01	2.193403e+01	1.630771e-01	1.589416e-03
1.493002118070852e-03	1.556077e+01	2.128918e+01	1.692818e-01	1.655274e-03
1.493004663677681e-03	1.542222e+01	2.117426e+01	1.702381e-01	1.667013e-03
1.493009754891338e-03	1.522526e+01	2.101931e+01	1.719123e-01	1.682847e-03
1.493019937318654e-03	1.493554e+01	2.078085e+01	1.743221e-01	1.707235e-03
1.493029788709203e-03	1.474911e+01	2.060904e+01	1.759909e-01	1.724818e-03
1.493039983093722e-03	1.461721e+01	2.048151e+01	1.772764e-01	1.737869e-03
1.493053077124313e-03	1.450001e+01	2.036905e+01	1.784270e-01	1.749393e-03
1.493072734024888e-03	1.439325e+01	2.026654e+01	1.795255e-01	1.759937e-03
1.493112047826037e-03	1.428927e+01	2.016696e+01	1.806016e-01	1.770269e-03
1.493190333747315e-03	1.421146e+01	2.009259e+01	1.812706e-01	1.778197e-03
1.493285088643077e-03	1.418367e+01	2.006657e+01	1.814833e-01	1.781263e-03
1.494038123550728e-03	1.417030e+01	2.006003e+01	1.818311e-01	1.785236e-03
1.670460550428233e-03	1.418925e+01	2.162620e+01	2.448616e-01	2.413113e-03
1.870460550428233e-03	1.420697e+01	2.349926e+01	3.201050e-01	3.162526e-03
2.070460550428234e-03	1.422166e+01	2.545159e+01	3.983436e-01	3.941766e-03
2.310460550428235e-03	1.423654e+01	2.786432e+01	4.948127e-01	4.902573e-03
2.570460550428235e-03	1.425024e+01	3.052073e+01	6.008289e-01	5.958461e-03
2.910460550428236e-03	1.426534e+01	3.398738e+01	7.390046e-01	7.334646e-03
3.350460550428237e-03	1.428137e+01	3.832648e+01	9.118677e-01	9.056306e-03
3.790460550428238e-03	1.429432e+01	4.234640e+01	1.072110e+00	1.065227e-02
4.230460550428240e-03	1.430471e+01	4.590891e+01	1.214355e+00	1.206900e-02
4.670460550428241e-03	1.431284e+01	4.890148e+01	1.334189e+00	1.326254e-02
5.110460550428242e-03	1.431889e+01	5.123483e+01	1.428084e+00	1.419775e-02
5.530460550428243e-03	1.432280e+01	5.278466e+01	1.491026e+00	1.482468e-02
5.950460550428244e-03	1.432494e+01	5.363028e+01	1.526196e+00	1.517502e-02
6.350460550428245e-03	1.432534e+01	5.375740e+01	1.532915e+00	1.524201e-02
6.730460550428246e-03	1.432425e+01	5.325673e+01	1.514738e+00	1.506105e-02
7.070460550428247e-03	1.432201e+01	5.229739e+01	1.478248e+00	1.469769e-02
7.210460550428247e-03	1.432075e+01	5.176380e+01	1.457738e+00	1.449345e-02
7.630460550428248e-03	1.431566e+01	4.968968e+01	1.377463e+00	1.369402e-02
8.050460550428240e-03	1.430857e+01	4.693268e+01	1.270128e+00	1.262509e-02
8.450460550428224e-03	1.429972e+01	4.371333e+01	1.144369e+00	1.137267e-02
8.850460550428207e-03	1.428850e+01	3.996424e+01	9.976094e-01	9.911085e-03
9.250460550428191e-03	1.427430e+01	3.574245e+01	8.321316e-01	8.263079e-03
9.630460550428176e-03	1.425701e+01	3.135206e+01	6.599541e-01	6.548346e-03
9.990460550428161e-03	1.423524e+01	2.690550e+01	4.856528e-01	4.812466e-03
1.027046055042815e-02	1.421179e+01	2.328602e+01	3.440516e-01	3.402261e-03
1.055046055042814e-02	1.417546e+01	1.954375e+01	1.984938e-01	1.952695e-03
1.067046055042813e-02	1.415017e+01	1.789727e+01	1.353038e-01	1.323466e-03
1.073046055042813e-02	1.413199e+01	1.705535e+01	1.036703e-01	1.008614e-03
1.075046055042813e-02	1.412386e+01	1.676786e+01	9.315743e-02	9.040720e-04
1.077046055042813e-02	1.411314e+01	1.647107e+01	8.270864e-02	8.002875e-04
1.079046055042813e-02	1.409827e+01	1.615308e+01	7.242919e-02	6.985630e-04
1.081046055042813e-02	1.409385e+01	1.580541e+01	6.255072e-02	5.997671e-04
1.087046055042813e-02	1.405237e+01	1.468256e+01	3.353214e-02	3.110771e-04
1.089046055042812e-02	1.402461e+01	1.429555e+01	2.394510e-02	2.160274e-04
1.091046055042812e-02	1.397222e+01	1.388667e+01	1.449500e-02	1.231636e-04
1.093057773792812e-02	1.388264e+01	1.344523e+01	5.518008e-03	3.280769e-05
1.093167148792812e-02	1.387107e+01	1.341527e+01	5.081470e-03	2.850243e-05
1.093292148792812e-02	1.385526e+01	1.337870e+01	4.597157e-03	2.382065e-05
1.093548917792811e-02	1.381760e+01	1.329931e+01	3.677949e-03	1.463906e-05
1.093603069792805e-02	1.380734e+01	1.328050e+01	3.501128e-03	1.291414e-05
1.093694346270306e-02	1.378836e+01	1.324733e+01	3.220950e-03	1.015571e-05
1.093712644729145e-02	1.378425e+01	1.324041e+01	3.167782e-03	9.629450e-06
1.093720711383012e-02	1.378284e+01	1.323775e+01	3.142614e-03	9.358044e-06
1.093725054739854e-02	1.378437e+01	1.323852e+01	3.120214e-03	8.987623e-06
1.093731579834114e-02	1.379497e+01	1.324742e+01	2.999562e-03	7.639632e-06
1.093740007862198e-02	1.381820e+01	1.326720e+01	2.706110e-03	5.054123e-06
1.093748418130611e-02	1.384282e+01	1.328763e+01	2.446087e-03	2.402958e-06
1.093749827854437e-02	1.384592e+01	1.329006e+01	2.417830e-03	2.060168e-06
1.093752647302089e-02	1.384996e+01	1.329286e+01	2.367027e-03	1.584788e-06
1.093758286197393e-02	1.385535e+01	1.329607e+01	2.293565e-03	8.774737e-07
1.093765196049514e-02	1.385858e+01	1.329714e+01	2.239010e-03	3.035238e-07
1.093771366772889e-02	1.385914e+01	1.329617e+01	2.210415e-03	-1.293463e-08
1.093775928477550e-02	1.385853e+01	1.329460e+01	2.196609e-03	-1.603184e-07
1.093780096713805e-02	1.385744e+01	1.329275e+01	2.187506e-03	-2.518924e-07
1.093783970624299e-02	1.385614e+01	1.329080e+01	2.181193e-03	-3.135305e-07
1.093787878125063e-02	1.385462e+01	1.328867e+01	2.176359e-03	-3.591039e-07
1.093792100445884e-02	1.385280e+01	1.328623e+01	2.172403e-03	-3.951027e-07
1.093796671938913e-02	1.385068e+01	1.328349e+01	2.169188e-03	-4.229036e-07
1.093802317226482e-02	1.384792e+01	1.328000e+01	2.166268e-03	-4.463854e-07
1.093808967751393e-02	1.384453e+01	1.327579e+01	2.163809e-03	-4.642812e-07
1.093816982878354e-02	1.384034e+01	1.327063e+01	2.161699e-03	-4.772053e-07
1.093826353115948e-02	1.383534e+01	1.326453e+01	2.159893e-03	-4.855550e-07
1.093852062087030e-02	1.382143e+01	1.324765e+01	2.156334e-03	-4.938105e-07
1.094661588526171e-02	1.338038e+01	1.271434e+01	2.063963e-03	-5.297767e-07
1.095085817389030e-02	1.314909e+01	1.243503e+01	2.016448e-03	-5.382590e-07
1.098849165660371e-02	1.109518e+01	9.964343e+00	1.604839e-03	-5.411036e-07
1.102849165660371e-02	8.910642e+00	7.352651e+00	1.169895e-03	-5.416904e-07
1.104849165660371e-02	7.818125e+00	6.052720e+00	9.534214e-04	-5.418971e-07
1.106849165660371e-02	6.725620e+00	4.756908e+00	7.376595e-04	-5.420511e-07
1.108849165660370e-02	5.633266e+00	3.465303e+00	5.225831e-04	-5.421583e-07
1.112849165660370e-02	3.449537e+00	8.950324e-01	9.461557e-05	-5.422693e-07
1.114849165660370e-02	2.358419e+00	-3.834774e-01	-1.182538e-04	-5.423079e-07
1.119099165660370e-02	4.194600e-02	-3.086320e+00	-5.682544e-04	-5.439018e-07
1.126318977675055e-02	-3.882587e+00	-7.626256e+00	-1.324576e-03	-5.461054e-07
1.134318977675054e-02	-8.211312e+00	-1.258365e+01	-2.149777e-03	-5.439492e-07
1.142568977675054e-02	-1.264701e+01	-1.761178e+01	-2.986429e-03	-5.406465e-07
1.143068977675054e-02	-1.291465e+01	-1.791342e+01	-3.036657e-03	-5.428220e-07
1.144205874919399e-02	-1.352277e+01	-1.859840e+01	-3.152582e-03	-5.596577e-07
1.146122436340234e-02	-1.454526e+01	-1.974767e+01	-3.352953e-03	-6.491774e-07
