time	V(d)	V(g)	Id(J1)
Step Information: Vgs=-2 Rd=1.5K  (Step: 1/9)
9.909310719962002e-01	2.592870e+00	0.000000e+00	1.148383e-02
9.999310719961992e-01	2.663945e+00	0.000000e+00	1.155645e-02
1.000000000000000e+00	2.664521e+00	0.000000e+00	1.155699e-02
Step Information: Vgs=-2 Rd=3.3K  (Step: 4/9)
0.000000000000000e+00	-8.675010e-10	-2.000000e+00	2.628788e-13
7.131071996293037e-03	1.501583e-02	-2.000000e+00	3.866836e-05
1.913107199629297e-02	4.075239e-02	-2.000000e+00	1.035967e-04
3.553107199629302e-02	7.694536e-02	-2.000000e+00	1.920231e-04
5.543107199629359e-02	1.226134e-01	-2.000000e+00	2.987903e-04
7.803107199629424e-02	1.771401e-01	-2.000000e+00	4.192368e-04
1.005310719962949e-01	2.347369e-01	-2.000000e+00	5.381468e-04
1.253310719962955e-01	3.028878e-01	-2.000000e+00	6.677981e-04
1.497310719962928e-01	3.759798e-01	-2.000000e+00	7.935278e-04
1.729310719962903e-01	4.528352e-01	-2.000000e+00	9.108443e-04
1.941310719962880e-01	5.317550e-01	-2.000000e+00	1.015414e-03
2.029310719962870e-01	5.678100e-01	-2.000000e+00	1.057822e-03
2.202310719962851e-01	6.466196e-01	-2.000000e+00	1.138788e-03
2.345310719962835e-01	7.234095e-01	-2.000000e+00	1.202185e-03
2.459310719962823e-01	7.974806e-01	-2.000000e+00	1.248831e-03
2.544310719962813e-01	8.664566e-01	-2.000000e+00	1.279444e-03
2.603310719962807e-01	9.284906e-01	-2.000000e+00	1.296403e-03
2.641310719962803e-01	9.826679e-01	-2.000000e+00	1.303016e-03
3.053310719962757e-01	1.797321e+00	-2.000000e+00	1.305848e-03
4.077310719962645e-01	3.825784e+00	-2.000000e+00	1.311769e-03
5.101310719962532e-01	5.854247e+00	-2.000000e+00	1.317689e-03
6.125310719962419e-01	7.882711e+00	-2.000000e+00	1.323609e-03
7.149310719962306e-01	9.911175e+00	-2.000000e+00	1.329529e-03
8.173310719962193e-01	1.193964e+01	-2.000000e+00	1.335449e-03
9.197310719962081e-01	1.396810e+01	-2.000000e+00	1.341369e-03
9.999310719961992e-01	1.555680e+01	-2.000000e+00	1.346005e-03
1.000000000000000e+00	1.555817e+01	-2.000000e+00	1.346009e-03
Step Information: Vgs=-1 Rd=3.3K  (Step: 5/9)
0.000000000000000e+00	-2.649633e-10	-1.000000e+00	8.029213e-14
2.133107199629296e-02	2.378614e-02	-1.000000e+00	1.220713e-04
6.083107199629374e-02	6.854724e-02	-1.000000e+00	3.479013e-04
1.005310719962949e-01	1.145233e-01	-1.000000e+00	5.745752e-04
1.665310719962910e-01	1.933406e-01	-1.000000e+00	9.506912e-04
2.029310719962870e-01	2.381968e-01	-1.000000e+00	1.157704e-03
2.842310719962781e-01	3.423962e-01	-1.000000e+00	1.618856e-03
3.053310719962757e-01	3.704365e-01	-1.000000e+00	1.738238e-03
3.931310719962661e-01	4.922090e-01	-1.000000e+00	2.233458e-03
4.077310719962645e-01	5.133386e-01	-1.000000e+00	2.315540e-03
4.965310719962547e-01	6.482688e-01	-1.000000e+00	2.812834e-03
5.101310719962532e-01	6.700251e-01	-1.000000e+00	2.888666e-03
5.952310719962438e-01	8.142423e-01	-1.000000e+00	3.360721e-03
6.125310719962419e-01	8.455254e-01	-1.000000e+00	3.456090e-03
6.896310719962334e-01	9.953182e-01	-1.000000e+00	3.877971e-03
7.149310719962306e-01	1.048962e+00	-1.000000e+00	4.015048e-03
7.794310719962235e-01	1.199558e+00	-1.000000e+00	4.360322e-03
8.173310719962193e-01	1.300671e+00	-1.000000e+00	4.559379e-03
8.638310719962142e-01	1.444802e+00	-1.000000e+00	4.797521e-03
8.996310719962103e-01	1.581005e+00	-1.000000e+00	4.973217e-03
9.197310719962081e-01	1.675085e+00	-1.000000e+00	5.066526e-03
9.393310719962059e-01	1.791306e+00	-1.000000e+00	5.150096e-03
9.517310719962045e-01	1.892991e+00	-1.000000e+00	5.194433e-03
9.587310719962038e-01	1.978629e+00	-1.000000e+00	5.210907e-03
9.999310719961992e-01	2.769283e+00	-1.000000e+00	5.221012e-03
1.000000000000000e+00	2.770611e+00	-1.000000e+00	5.221027e-03
Step Information: Vgs=0 Rd=3.3K  (Step: 6/9)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.193107199629320e-02	3.189877e-02	0.000000e+00	2.444614e-04
1.005310719962949e-01	7.702276e-02	0.000000e+00	5.859390e-04
2.029310719962870e-01	1.574774e-01	0.000000e+00	1.182165e-03
3.053310719962757e-01	2.401164e-01	0.000000e+00	1.777729e-03
4.077310719962645e-01	3.251309e-01	0.000000e+00	2.372573e-03
5.101310719962532e-01	4.127415e-01	0.000000e+00	2.966630e-03
6.125310719962419e-01	5.032055e-01	0.000000e+00	3.559823e-03
7.149310719962306e-01	5.968255e-01	0.000000e+00	4.152060e-03
8.173310719962193e-01	6.939620e-01	0.000000e+00	4.743230e-03
9.197310719962081e-01	7.950494e-01	0.000000e+00	5.333204e-03
9.999310719961992e-01	8.773209e-01	0.000000e+00	5.794333e-03
1.000000000000000e+00	8.773929e-01	0.000000e+00	5.794730e-03
Step Information: Vgs=-2 Rd=10K  (Step: 7/9)
0.000000000000000e+00	-9.328679e-10	-2.000000e+00	9.328639e-14
1.913107199629297e-02	1.429774e-02	-2.000000e+00	3.683237e-05
5.123107199629347e-02	3.874268e-02	-2.000000e+00	9.858788e-05
9.463107199629471e-02	7.276656e-02	-2.000000e+00	1.819855e-04
1.005310719962949e-01	7.748405e-02	-2.000000e+00	1.933137e-04
1.541310719962924e-01	1.214416e-01	-2.000000e+00	2.961180e-04
2.029310719962870e-01	1.633625e-01	-2.000000e+00	3.895259e-04
2.663310719962800e-01	2.209996e-01	-2.000000e+00	5.105622e-04
3.053310719962757e-01	2.585481e-01	-2.000000e+00	5.848073e-04
3.700310719962686e-01	3.251466e-01	-2.000000e+00	7.075475e-04
4.077310719962645e-01	3.669643e-01	-2.000000e+00	7.787657e-04
4.674310719962579e-01	4.390701e-01	-2.000000e+00	8.909552e-04
5.101310719962532e-01	4.964430e-01	-2.000000e+00	9.706179e-04
5.588310719962478e-01	5.703049e-01	-2.000000e+00	1.060632e-03
5.999310719962433e-01	6.431348e-01	-2.000000e+00	1.135549e-03
6.125310719962419e-01	6.682941e-01	-2.000000e+00	1.158233e-03
6.429310719962386e-01	7.374437e-01	-2.000000e+00	1.212118e-03
6.657310719962360e-01	8.020753e-01	-2.000000e+00	1.251255e-03
6.818310719962343e-01	8.611899e-01	-2.000000e+00	1.277543e-03
6.922310719962331e-01	9.131645e-01	-2.000000e+00	1.293146e-03
6.983310719962325e-01	9.575735e-01	-2.000000e+00	1.300905e-03
7.013310719962321e-01	9.926220e-01	-2.000000e+00	1.303400e-03
7.149310719962306e-01	1.255938e+00	-2.000000e+00	1.304268e-03
8.173310719962193e-01	3.245858e+00	-2.000000e+00	1.310076e-03
