time	V(d)	Id(J1)
Step Information: Vgs=-5  (Step: 1/6)
1.005310719926526e-02	2.010621e-01	2.243137e-11
2.029310719926485e-02	4.058622e-01	2.239978e-11
3.053310719926443e-02	6.106622e-01	2.238031e-11
4.077310719926732e-02	8.154622e-01	2.237193e-11
5.101310719927046e-02	1.020262e+00	2.237372e-11
6.125310719927359e-02	1.225062e+00	2.238490e-11
7.149310719927049e-02	1.429862e+00	2.240474e-11
8.173310719926652e-02	1.634662e+00	2.243260e-11
9.197310719926255e-02	1.839462e+00	2.246790e-11
1.022131071992586e-01	2.044262e+00	2.251013e-11
1.124531071992546e-01	2.249062e+00	2.255882e-11
1.226931071992506e-01	2.453862e+00	2.261354e-11
1.329331071992577e-01	2.658662e+00	2.267390e-11
1.431731071992679e-01	2.863462e+00	2.273955e-11
1.534131071992782e-01	3.068262e+00	2.281018e-11
1.636531071992884e-01	3.273062e+00	2.288547e-11
1.738931071992987e-01	3.477862e+00	2.296518e-11
1.841331071993089e-01	3.682662e+00	2.304903e-11
1.943731071993191e-01	3.887462e+00	2.313682e-11
2.046131071993294e-01	4.092262e+00	2.322832e-11
2.148531071993396e-01	4.297062e+00	2.332334e-11
2.250931071993499e-01	4.501862e+00	2.342169e-11
2.353331071993601e-01	4.706662e+00	2.352321e-11
2.455731071993703e-01	4.911462e+00	2.362774e-11
2.558131071993806e-01	5.116262e+00	2.373514e-11
2.660531071993908e-01	5.321062e+00	2.384527e-11
2.762931071994010e-01	5.525862e+00	2.395799e-11
2.865331071994113e-01	5.730662e+00	2.407320e-11
2.967731071994215e-01	5.935462e+00	2.419078e-11
3.070131071994318e-01	6.140262e+00	2.431063e-11
3.172531071994420e-01	6.345062e+00	2.443265e-11
3.274931071994522e-01	6.549862e+00	2.455675e-11
3.377331071994625e-01	6.754662e+00	2.468283e-11
3.479731071994727e-01	6.959462e+00	2.481082e-11
3.582131071994830e-01	7.164262e+00	2.494064e-11
3.684531071994932e-01	7.369062e+00	2.507223e-11
3.786931071995034e-01	7.573862e+00	2.520550e-11
3.889331071995137e-01	7.778662e+00	2.534040e-11
3.991731071995239e-01	7.983462e+00	2.547686e-11
4.094131071995342e-01	8.188262e+00	2.561482e-11
4.196531071995444e-01	8.393063e+00	2.575424e-11
4.298931071995546e-01	8.597862e+00	2.589506e-11
4.401331071995649e-01	8.802662e+00	2.603722e-11
4.503731071995751e-01	9.007463e+00	2.618068e-11
4.606131071995854e-01	9.212262e+00	2.632540e-11
4.708531071995956e-01	9.417062e+00	2.647134e-11
4.810931071996059e-01	9.621862e+00	2.661845e-11
4.913331071996161e-01	9.826662e+00	2.676669e-11
5.015731071996176e-01	1.003146e+01	2.691602e-11
5.118131071995710e-01	1.023626e+01	2.706642e-11
5.220531071995244e-01	1.044106e+01	2.721785e-11
5.322931071994778e-01	1.064586e+01	2.737027e-11
5.425331071994312e-01	1.085066e+01	2.752366e-11
5.527731071993846e-01	1.105546e+01	2.767798e-11
5.630131071993379e-01	1.126026e+01	2.783321e-11
5.732531071992913e-01	1.146506e+01	2.798932e-11
5.834931071992447e-01	1.166986e+01	2.814628e-11
5.937331071991981e-01	1.187466e+01	2.830407e-11
6.039731071991515e-01	1.207946e+01	2.846266e-11
6.142131071991049e-01	1.228426e+01	2.862204e-11
6.244531071990583e-01	1.248906e+01	2.878218e-11
6.346931071990117e-01	1.269386e+01	2.894306e-11
6.449331071989651e-01	1.289866e+01	2.910466e-11
6.551731071989185e-01	1.310346e+01	2.926696e-11
6.654131071988719e-01	1.330826e+01	2.942993e-11
6.756531071988253e-01	1.351306e+01	2.959357e-11
6.858931071987787e-01	1.371786e+01	2.975786e-11
6.961331071987321e-01	1.392266e+01	2.992277e-11
7.063731071986855e-01	1.412746e+01	3.008830e-11
7.166131071986389e-01	1.433226e+01	3.025442e-11
7.268531071985923e-01	1.453706e+01	3.042112e-11
7.370931071985457e-01	1.474186e+01	3.058840e-11
7.473331071984991e-01	1.494666e+01	3.075622e-11
7.575731071984525e-01	1.515146e+01	3.092459e-11
7.678131071984059e-01	1.535626e+01	3.109348e-11
7.780531071983593e-01	1.556106e+01	3.126288e-11
7.882931071983127e-01	1.576586e+01	3.143279e-11
7.985331071982661e-01	1.597066e+01	3.160319e-11
