v1	V(a)	V(vcc)	I(R1)
7.900000000000000e+01	7.869205e+01	7.900000e+01	6.552218e-05
8.000000000000000e+01	7.968815e+01	8.000000e+01	6.635157e-05
8.100000000000000e+01	8.068425e+01	8.100000e+01	6.718097e-05
8.200000000000000e+01	8.168035e+01	8.200000e+01	6.801036e-05
8.300000000000000e+01	8.267645e+01	8.300000e+01	6.883976e-05
8.400000000000000e+01	8.367255e+01	8.400000e+01	6.966916e-05
8.500000000000000e+01	8.466866e+01	8.500000e+01	7.049855e-05
8.600000000000000e+01	8.566476e+01	8.600000e+01	7.132794e-05
8.700000000000000e+01	8.666086e+01	8.700000e+01	7.215734e-05
8.800000000000000e+01	8.765696e+01	8.800000e+01	7.298673e-05
8.900000000000000e+01	8.865306e+01	8.900000e+01	7.381613e-05
9.000000000000000e+01	8.964916e+01	9.000000e+01	7.464553e-05
9.100000000000000e+01	9.064527e+01	9.100000e+01	7.547492e-05
9.200000000000000e+01	9.164137e+01	9.200000e+01	7.630431e-05
9.300000000000000e+01	9.263747e+01	9.300000e+01	7.713371e-05
9.400000000000000e+01	9.363358e+01	9.400000e+01	7.796310e-05
9.500000000000000e+01	9.462968e+01	9.500000e+01	7.879249e-05
9.600000000000000e+01	9.562578e+01	9.600000e+01	7.962189e-05
9.700000000000000e+01	9.662188e+01	9.700000e+01	8.045129e-05
9.800000000000000e+01	9.761798e+01	9.800000e+01	8.128068e-05
9.900000000000000e+01	9.861408e+01	9.900000e+01	8.211008e-05
1.000000000000000e+02	9.961018e+01	1.000000e+02	8.293947e-05
1.010000000000000e+02	1.006063e+02	1.010000e+02	8.376886e-05
1.020000000000000e+02	1.016024e+02	1.020000e+02	8.459826e-05
1.030000000000000e+02	1.025985e+02	1.030000e+02	8.542765e-05
1.040000000000000e+02	1.035946e+02	1.040000e+02	8.625705e-05
1.050000000000000e+02	1.045907e+02	1.050000e+02	8.708645e-05
1.060000000000000e+02	1.055868e+02	1.060000e+02	8.791584e-05
