time	V(a1)	V(g)	V(l) Step Information: A=10µ  (Step: 1/3)
3.774073793031690e-03	5.375324e+01	2.439054e+00	1.524929e+00
4.194073793031691e-03	5.571499e+01	2.524423e+00	1.604828e+00
4.614073793031692e-03	5.688083e+01	2.575874e+00	1.653196e+00
5.034073793031693e-03	5.723074e+01	2.593094e+00	1.669239e+00
5.454073793031694e-03	5.675874e+01	2.575374e+00	1.652725e+00
5.874073793031695e-03	5.547307e+01	2.523499e+00	1.603960e+00
6.034073793031696e-03	5.477347e+01	2.494812e+00	1.577065e+00
6.254073793031696e-03	5.362705e+01	2.447427e+00	1.532769e+00
6.614073793031697e-03	5.130406e+01	2.351080e+00	1.442549e+00
7.034073793031699e-03	4.792822e+01	2.210376e+00	1.310871e+00
7.434073793031700e-03	4.409761e+01	2.049765e+00	1.161034e+00
7.834073793031700e-03	3.972720e+01	1.865572e+00	9.897794e-01
8.234073793031683e-03	3.488485e+01	1.660176e+00	7.998394e-01
8.614073793031668e-03	2.991516e+01	1.447245e+00	6.048707e-01
8.994073793031652e-03	2.465316e+01	1.218137e+00	3.986908e-01
9.314073793031639e-03	2.003979e+01	1.008126e+00	2.188506e-01
9.454073793031634e-03	1.797082e+01	9.029748e-01	1.392340e-01
9.514073793031631e-03	1.706833e+01	8.485186e-01	1.052345e-01
9.554073793031630e-03	1.645009e+01	7.966108e-01	8.292748e-02
9.574073793031629e-03	1.612360e+01	7.452778e-01	7.234383e-02
9.594073793031628e-03	1.577802e+01	6.645936e-01	6.244416e-02
9.614073793031627e-03	1.541928e+01	5.552432e-01	5.316754e-02
9.634073793031626e-03	1.505626e+01	4.599721e-01	4.363747e-02
9.654073793031626e-03	1.469044e+01	3.505581e-01	3.444263e-02
9.674073793031625e-03	1.432053e+01	2.567921e-01	2.507528e-02
9.694073793031624e-03	1.394111e+01	1.505994e-01	1.614404e-02
9.714073793031623e-03	1.355128e+01	6.650499e-02	7.682665e-03
9.714112855531623e-03	1.355059e+01	6.507034e-02	7.640908e-03
9.714190980531624e-03	1.354897e+01	6.298062e-02	7.617813e-03
9.714347230531623e-03	1.354521e+01	6.130011e-02	7.587255e-03
9.716693025047060e-03	1.349544e+01	5.160885e-02	6.697826e-03
9.718986672923627e-03	1.344525e+01	4.261740e-02	5.880130e-03
9.723619415531713e-03	1.334108e+01	2.627988e-02	4.382453e-03
9.724528352630732e-03	1.331937e+01	2.346704e-02	4.124142e-03
9.725497885536350e-03	1.329566e+01	2.062386e-02	3.863747e-03
9.727494824999277e-03	1.324585e+01	1.538328e-02	3.383637e-03
9.728539505445045e-03	1.321879e+01	1.300493e-02	3.164158e-03
9.728580597115165e-03	1.321838e+01	1.289099e-02	3.148055e-03
9.728640324239670e-03	1.322035e+01	1.240761e-02	3.039571e-03
9.728704117141882e-03	1.322556e+01	1.092891e-02	2.747516e-03
9.728772985945855e-03	1.323215e+01	8.398506e-03	2.430489e-03
9.728790203146848e-03	1.323321e+01	7.745585e-03	2.385794e-03
9.728824637548834e-03	1.323401e+01	6.529407e-03	2.313553e-03
9.728878242007920e-03	1.323415e+01	5.018209e-03	2.250668e-03
9.728936044939926e-03	1.323338e+01	3.886318e-03	2.218558e-03
9.728979201612907e-03	1.323244e+01	3.313613e-03	2.205665e-03
9.729017328419538e-03	1.323144e+01	2.948021e-03	2.198157e-03
9.729058332831582e-03	1.323030e+01	2.661990e-03	2.192592e-03
9.729099116982276e-03	1.322910e+01	2.458583e-03	2.188765e-03
9.729135929482189e-03	1.322800e+01	2.325747e-03	2.186306e-03
9.729176409942761e-03	1.322676e+01	2.219665e-03	2.184351e-03
9.729214217352178e-03	1.322558e+01	2.148499e-03	2.183032e-03
9.729261338142028e-03	1.322411e+01	2.086218e-03	2.181853e-03
9.729368109639088e-03	1.322073e+01	2.010972e-03	2.180219e-03
9.729595054183630e-03	1.321351e+01	1.967286e-03	2.178385e-03
9.741769804943031e-03	1.282453e+01	1.865835e-03	2.110781e-03
9.747018296574862e-03	1.265641e+01	1.826694e-03	2.081791e-03
9.757515279838522e-03	1.231955e+01	1.760642e-03	2.024834e-03
9.801004303388473e-03	1.091520e+01	1.521838e-03	1.790612e-03
9.881004303388469e-03	8.297050e+00	1.076974e-03	1.353885e-03
9.981004303388465e-03	4.964428e+00	5.115231e-04	7.980337e-04
1.008100430338846e-02	1.571243e+00	-6.328249e-05	2.321614e-04
1.012100430338846e-02	1.984725e-01	-2.956686e-04	3.243558e-06
1.016100430338846e-02	-1.182536e+00	-5.294089e-04	-2.270443e-04
1.020350430338846e-02	-2.657990e+00	-7.797888e-04	-4.732099e-04
1.020850430338846e-02	-2.832232e+00	-8.113538e-04	-5.024503e-04
1.023029253479243e-02	-3.592848e+00	-9.418651e-04	-6.294107e-04
1.029029253479243e-02	-5.697757e+00	-1.297668e-03	-9.803368e-04
1.039029253479243e-02	-9.237661e+00	-1.894579e-03	-1.570428e-03
1.049029253479242e-02	-1.281230e+01	-2.496445e-03	-2.166221e-03
1.059029253479242e-02	-1.641566e+01	-3.102083e-03	-2.766710e-03
1.061904253479242e-02	-1.745591e+01	-3.278210e-03	-2.940217e-03
1.062654253479242e-02	-1.772762e+01	-3.338760e-03	-2.986859e-03
1.064679474943324e-02	-1.846182e+01	-3.524045e-03	-3.114829e-03
1.072679474943323e-02	-2.136909e+01	-4.293149e-03	-3.624794e-03
1.078679474943323e-02	-2.355587e+01	-4.877857e-03	-4.008953e-03
1.082679474943323e-02	-2.501610e+01	-5.269379e-03	-4.265573e-03
1.086679474943323e-02	-2.647781e+01	-5.661885e-03	-4.522507e-03
1.088679474943323e-02	-2.720911e+01	-5.858480e-03	-4.651072e-03
1.090679474943323e-02	-2.794065e+01	-6.055167e-03	-4.779682e-03
1.092679474943323e-02	-2.867238e+01	-6.252087e-03	-4.908341e-03
1.096679474943322e-02	-3.013624e+01	-6.646236e-03	-5.165750e-03
1.102679474943322e-02	-3.233238e+01	-7.238158e-03	-5.551981e-03
1.110679474943322e-02	-3.525943e+01	-8.028179e-03	-6.066852e-03
1.114679474943322e-02	-3.672169e+01	-8.423260e-03	-6.324104e-03
1.116679474943322e-02	-3.745234e+01	-8.620799e-03	-6.452659e-03
1.118239831888253e-02	-3.802206e+01	-8.833131e-03	-6.558247e-03
1.118343988938521e-02	-3.806002e+01	-8.873366e-03	-6.567822e-03
1.118552303039056e-02	-3.813568e+01	-9.004266e-03	-6.591586e-03
1.118838883580542e-02	-3.823911e+01	-9.388340e-03	-6.642963e-03
1.119176763387451e-02	-3.835954e+01	-1.039801e-02	-6.754952e-03
1.119491105602528e-02	-3.846908e+01	-1.224338e-02	-6.942135e-03
1.119838288223216e-02	-3.858728e+01	-1.582092e-02	-7.289611e-03
1.119961215761492e-02	-3.862748e+01	-1.758340e-02	-7.457816e-03
1.119964517894095e-02	-3.862850e+01	-1.763486e-02	-7.462849e-03
1.119967557165854e-02	-3.862871e+01	-1.770231e-02	-7.475831e-03
1.119971524982497e-02	-3.862754e+01	-1.806056e-02	-7.583024e-03
1.119971770593001e-02	-3.862732e+01	-1.810198e-02	-7.596121e-03
1.119972261814009e-02	-3.862650e+01	-1.819462e-02	-7.626168e-03
1.119973244256026e-02	-3.862328e+01	-1.845789e-02	-7.716049e-03
1.119975209140060e-02	-3.860915e+01	-1.962112e-02	-8.125746e-03
1.119976998320085e-02	-3.858089e+01	-2.219578e-02	-9.034536e-03
1.119978524606548e-02	-3.853145e+01	-2.682952e-02	-1.065099e-02
1.119979931385005e-02	-3.844622e+01	-3.491649e-02	-1.341883e-02
1.119981314388740e-02	-3.829568e+01	-4.917690e-02	-1.819316e-02
1.119982844318256e-02	-3.801146e+01	-7.760116e-02	-2.745496e-02
1.119984243207334e-02	-3.757987e+01	-1.223660e-01	-4.163038e-02
1.119985744642638e-02	-3.685061e+01	-2.020864e-01	-6.594931e-02
1.119987212938867e-02	-3.580210e+01	-3.251356e-01	-1.016379e-01
1.119988819479213e-02	-3.427516e+01	-5.238773e-01	-1.551283e-01
1.119990542483827e-02	-3.238435e+01	-8.057444e-01	-2.231175e-01
1.119991800264173e-02	-3.099001e+01	-1.022470e+00	-2.717446e-01
1.119992497665512e-02	-3.029601e+01	-1.097299e+00	-2.959589e-01
1.119993521065890e-02	-2.944108e+01	-1.134758e+00	-3.256176e-01
1.119994190095354e-02	-2.900078e+01	-1.150832e+00	-3.403920e-01
1.119995061140301e-02	-2.859780e+01	-1.168226e+00	-3.550293e-01
1.119996803230196e-02	-2.808628e+01	-1.189523e+00	-3.738143e-01
1.119999549742793e-02	-2.763261e+01	-1.206494e+00	-3.884957e-01
1.120002255421892e-02	-2.741117e+01	-1.214058e+00	-3.953144e-01
1.120006154080169e-02	-2.727346e+01	-1.219345e+00	-3.998262e-01
1.120011602801458e-02	-2.719590e+01	-1.221912e+00	-4.022245e-01
1.120019692241428e-02	-2.715786e+01	-1.223371e+00	-4.033878e-01
1.120117851560907e-02	-2.714602e+01	-1.224769e+00	-4.046284e-01
1.134705749537321e-02	-2.917106e+01	-1.323303e+00	-4.927199e-01
1.150705749537320e-02	-3.133985e+01	-1.426723e+00	-5.862268e-01
1.166705749537320e-02	-3.344970e+01	-1.525643e+00	-6.764364e-01
1.184705749537319e-02	-3.574740e+01	-1.631991e+00	-7.739149e-01
1.202705749537318e-02	-3.795867e+01	-1.732889e+00	-8.670648e-01
1.220705749537317e-02	-4.007720e+01	-1.828878e+00	-9.557728e-01
1.238705749537317e-02	-4.209680e+01	-1.919443e+00	-1.039921e+00
1.258705749537316e-02	-4.421749e+01	-2.014054e+00	-1.127906e+00
1.278705749537315e-02	-4.620082e+01	-2.102062e+00	-1.209904e+00
1.300705749537314e-02	-4.821497e+01	-2.191187e+00	-1.292956e+00
1.322705749537313e-02	-5.004476e+01	-2.271673e+00	-1.368278e+00
1.346705749537312e-02	-5.182080e+01	-2.349781e+00	-1.441340e+00
1.372705749537311e-02	-5.347475e+01	-2.422636e+00	-1.509436e+00
1.400705749537310e-02	-5.492992e+01	-2.486786e+00	-1.569543e+00
1.430705749537309e-02	-5.610186e+01	-2.538709e+00	-1.618340e+00
1.462705749537307e-02	-5.689947e+01	-2.574852e+00	-1.652240e+00
1.496705749537306e-02	-5.722681e+01	-2.591209e+00	-1.667468e+00
1.514705749537305e-02	-5.718179e+01	-2.590400e+00	-1.666825e+00
1.548705749537304e-02	-5.668507e+01	-2.571748e+00	-1.649210e+00
1.576705749537303e-02	-5.587543e+01	-2.539290e+00	-1.618766e+00
1.596705749537302e-02	-5.507917e+01	-2.506853e+00	-1.588352e+00
1.608705749537302e-02	-5.451566e+01	-2.483749e+00	-1.566694e+00
1.610705749537301e-02	-5.441557e+01	-2.479515e+00	-1.562840e+00
1.618705749537301e-02	-5.399765e+01	-2.462317e+00	-1.546723e+00
1.634705749537300e-02	-5.307861e+01	-2.424379e+00	-1.511179e+00
1.660705749537299e-02	-5.135384e+01	-2.352994e+00	-1.444226e+00
1.692705749537298e-02	-4.885318e+01	-2.248833e+00	-1.346805e+00
1.730705749537297e-02	-4.537516e+01	-2.103155e+00	-1.210912e+00
1.770705749537295e-02	-4.116927e+01	-1.926244e+00	-1.046225e+00
1.810705749537293e-02	-3.646907e+01	-1.727355e+00	-8.619334e-01
1.850705749537292e-02	-3.134708e+01	-1.508791e+00	-6.609977e-01
1.888705749537290e-02	-2.616074e+01	-1.284395e+00	-4.576769e-01
1.924705749537289e-02	-2.101843e+01	-1.054071e+00	-2.568265e-01
1.942705749537288e-02	-1.837313e+01	-9.248748e-01	-1.545748e-01
1.950705749537288e-02	-1.717476e+01	-8.553067e-01	-1.091755e-01
1.952705749537288e-02	-1.687027e+01	-8.337260e-01	-9.792985e-02
1.954705749537287e-02	-1.656081e+01	-8.068795e-01	-8.678433e-02
1.956705749537287e-02	-1.624009e+01	-7.677206e-01	-7.595060e-02
1.958705749537287e-02	-1.590097e+01	-6.950859e-01	-6.583983e-02
1.962705749537287e-02	-1.518378e+01	-4.922808e-01	-4.697011e-02
1.966705749537287e-02	-1.445077e+01	-2.883343e-01	-2.832506e-02
1.968705749537287e-02	-1.407596e+01	-1.885808e-01	-1.925897e-02
1.970705749537287e-02	-1.367953e+01	-9.276343e-02	-1.043824e-02
1.972705749537287e-02	-1.325115e+01	-1.857870e-02	-3.699452e-03
1.972706813099787e-02	-1.325169e+01	-1.844469e-02	-3.629462e-03
1.972708940224786e-02	-1.325352e+01	-1.813386e-02	-3.529204e-03
1.972712618829562e-02	-1.325442e+01	-1.754289e-02	-3.465656e-03
1.972716496957961e-02	-1.325394e+01	-1.701658e-02	-3.448905e-03
1.972723019983968e-02	-1.325234e+01	-1.640468e-02	-3.434305e-03
1.972734717496733e-02	-1.324932e+01	-1.578321e-02	-3.409942e-03
1.972763844424322e-02	-1.324181e+01	-1.498009e-02	-3.346371e-03
1.972846404133398e-02	-1.322033e+01	-1.311277e-02	-3.174945e-03
1.972850009158750e-02	-1.321950e+01	-1.303052e-02	-3.166324e-03
1.972854869284943e-02	-1.321933e+01	-1.287229e-02	-3.140526e-03
1.972860669418587e-02	-1.322192e+01	-1.226637e-02	-3.001032e-03
1.972867393336566e-02	-1.322783e+01	-1.046537e-02	-2.671938e-03
1.972874265976635e-02	-1.323356e+01	-7.860993e-03	-2.386367e-03
1.972877865222390e-02	-1.323504e+01	-6.563468e-03	-2.312623e-03
1.972882104670739e-02	-1.323524e+01	-5.317028e-03	-2.260967e-03
1.972886897064346e-02	-1.323471e+01	-4.263350e-03	-2.228504e-03
1.972891922643289e-02	-1.323371e+01	-3.490931e-03	-2.209667e-03
1.972896154357677e-02	-1.323265e+01	-3.040107e-03	-2.200146e-03
1.972900237921713e-02	-1.323153e+01	-2.729065e-03	-2.194020e-03
1.972904311694175e-02	-1.323035e+01	-2.506766e-03	-2.189812e-03
1.972908119795808e-02	-1.322922e+01	-2.356956e-03	-2.187032e-03
1.972911723686119e-02	-1.322812e+01	-2.252924e-03	-2.185117e-03
1.972915592819902e-02	-1.322692e+01	-2.171122e-03	-2.183607e-03
1.972919916508474e-02	-1.322557e+01	-2.106274e-03	-2.182393e-03
1.972930150739197e-02	-1.322234e+01	-2.021439e-03	-2.180637e-03
1.972951688496182e-02	-1.321549e+01	-1.969996e-03	-2.178759e-03
1.974044983093883e-02	-1.286626e+01	-1.875785e-03	-2.118000e-03
1.974432972174493e-02	-1.274205e+01	-1.846379e-03	-2.096536e-03
1.975208950335714e-02	-1.249321e+01	-1.791831e-03	-2.053945e-03
1.976760906658155e-02	-1.199409e+01	-1.705203e-03	-1.970591e-03
1.984678903397710e-02	-9.421749e+00	-1.267872e-03	-1.541489e-03
1.994678903397709e-02	-6.111392e+00	-7.061420e-04	-9.893322e-04
1.998678903397709e-02	-4.769494e+00	-4.785671e-04	-7.654942e-04
2.000000000000000e-02	-4.324486e+00	-4.028823e-04	-6.912054e-04 Step Information: A=500m  (Step: 2/3)
0.000000000000000e+00	3.670509e-23	-8.137484e-24	-7.341034e-25
6.399999641359955e-09	1.724675e-04	2.634417e-06	1.966234e-06
