time	V(D,G)	V(a1)	V(l)
1.938108045507943e-03	1.478683e+01	1.909995e+01	6.057668e+00
1.938113344721474e-03	1.476683e+01	1.740668e+01	6.097172e+00
1.938123943148536e-03	1.473004e+01	1.473525e+01	6.162271e+00
1.938145140002659e-03	1.467662e+01	1.093122e+01	6.249277e+00
1.938159682499878e-03	1.465009e+01	9.231990e+00	6.285583e+00
1.938173749780237e-03	1.462720e+01	8.277724e+00	6.308370e+00
1.938189219513056e-03	1.460574e+01	7.680289e+00	6.324000e+00
1.938210098899396e-03	1.458224e+01	7.244417e+00	6.335663e+00
1.938221924427595e-03	1.457095e+01	7.114574e+00	6.339478e+00
1.938238234988131e-03	1.455727e+01	7.028101e+00	6.342836e+00
1.938276914202985e-03	1.453207e+01	6.950492e+00	6.346068e+00
1.939241907926902e-03	1.445873e+01	6.809175e+00	6.230031e+00
1.942776580117184e-03	1.444242e+01	6.343044e+00	5.762692e+00
1.945971279584625e-03	1.443031e+01	5.964076e+00	5.381304e+00
1.948378482757776e-03	1.442184e+01	5.702065e+00	5.117358e+00
1.951279280572267e-03	1.441326e+01	5.411872e+00	4.823876e+00
1.956258778844360e-03	1.438493e+01	4.957006e+00	4.377276e+00
1.960676842735912e-03	1.436886e+01	4.613543e+00	4.033839e+00
1.965168515358710e-03	1.435318e+01	4.309173e+00	3.728884e+00
1.969038344271964e-03	1.434107e+01	4.078337e+00	3.497698e+00
1.973344947755406e-03	1.432785e+01	3.851287e+00	3.270635e+00
1.977549025740177e-03	1.431553e+01	3.656769e+00	3.076100e+00
1.981763481271822e-03	1.430366e+01	3.485441e+00	2.904751e+00
1.985972525000450e-03	1.429221e+01	3.335169e+00	2.754455e+00
1.990183837807104e-03	1.428109e+01	3.203176e+00	2.622436e+00
1.994394176338835e-03	1.427023e+01	3.087388e+00	2.506619e+00
1.998604930500670e-03	1.425956e+01	2.985843e+00	2.405045e+00
2.002815506900102e-03	1.424902e+01	2.896869e+00	2.316039e+00
2.007026159245393e-03	1.423855e+01	2.818974e+00	2.238111e+00
2.011236779129200e-03	1.422809e+01	2.750858e+00	2.169961e+00
2.014947182678354e-03	1.421889e+01	2.698095e+00	2.117096e+00
2.017684625305322e-03	1.421212e+01	2.663125e+00	2.081981e+00
2.021671049332551e-03	1.420223e+01	2.617669e+00	2.036181e+00
2.024546303233924e-03	1.419508e+01	2.588616e+00	2.006730e+00
2.028503461026713e-03	1.418517e+01	2.553367e+00	1.970633e+00
2.034514739378115e-03	1.416931e+01	2.509622e+00	1.924565e+00
2.045060135495814e-03	1.413439e+01	2.452958e+00	1.865792e+00
2.054021916950524e-03	1.410511e+01	2.425044e+00	1.838057e+00
2.066734313602370e-03	1.409238e+01	2.408524e+00	1.826473e+00
