time	V(D,G)	V(a1)	V(l)
0.000000000000000e+00	1.634646e-22	9.560285e-23	-1.912059e-24
6.399999641359955e-09	1.363262e-05	1.040662e-04	3.392009e-06
1.279999928271991e-08	5.041716e-05	2.242477e-04	6.304969e-06
2.559999856543982e-08	1.714325e-04	4.976661e-04	1.097678e-05
4.577895910516066e-08	4.440214e-04	9.852381e-04	1.604939e-05
6.741278404924486e-08	8.171099e-04	1.562142e-03	1.942636e-05
9.281851295175434e-08	1.329977e-03	2.287494e-03	2.183480e-05
1.252582351460885e-07	2.050510e-03	3.253006e-03	2.361020e-05
1.737895322874516e-07	3.196702e-03	4.733696e-03	2.503245e-05
2.450710608538922e-07	4.946122e-03	6.936820e-03	2.611631e-05
4.147348998375172e-07	9.227511e-03	1.221951e-02	2.750648e-05
1.465043464725256e-06	3.610317e-02	4.502730e-02	3.316032e-05
2.249407225164756e-06	5.619624e-02	6.953818e-02	3.727916e-05
3.818134746043758e-06	9.640764e-02	1.185773e-01	4.550869e-05
6.955589787801761e-06	1.769307e-01	2.167246e-01	6.193359e-05
1.323049987131777e-05	3.383706e-01	4.132906e-01	9.473961e-05
2.578032003834978e-05	6.626343e-01	8.073773e-01	1.604571e-04
4.578032003834978e-05	1.182453e+00	1.437518e+00	2.655674e-04
6.578032003834978e-05	1.705994e+00	2.070213e+00	3.711400e-04
8.578032003834978e-05	2.233580e+00	2.705675e+00	4.771673e-04
1.057803200383498e-04	2.765143e+00	3.343847e+00	5.836397e-04
1.257803200383498e-04	3.300613e+00	3.984668e+00	6.905488e-04
1.457803200383498e-04	3.839924e+00	4.628084e+00	7.978848e-04
1.657803200383498e-04	4.383007e+00	5.274035e+00	9.056389e-04
1.857803200383498e-04	4.929797e+00	5.922466e+00	1.013801e-03
2.057803200383498e-04	5.480227e+00	6.573318e+00	1.122363e-03
2.257803200383498e-04	6.034230e+00	7.226537e+00	1.231315e-03
2.457803200383498e-04	6.591740e+00	7.882066e+00	1.340648e-03
2.657803200383498e-04	7.152693e+00	8.539847e+00	1.450351e-03
2.857803200383498e-04	7.717023e+00	9.199827e+00	1.560418e-03
3.057803200383498e-04	8.284665e+00	9.861950e+00	1.670837e-03
3.257803200383498e-04	8.855555e+00	1.052616e+01	1.781601e-03
3.457803200383498e-04	9.429631e+00	1.119240e+01	1.892699e-03
3.657803200383498e-04	1.000683e+01	1.186062e+01	2.004123e-03
4.057803200383498e-04	1.117033e+01	1.320278e+01	2.227913e-03
4.457803200383498e-04	1.234555e+01	1.455220e+01	2.452899e-03
4.682803200383498e-04	1.301094e+01	1.531389e+01	2.579956e-03
4.732803200383498e-04	1.315948e+01	1.548356e+01	2.608273e-03
4.822449022916942e-04	1.342612e+01	1.578797e+01	2.660264e-03
4.913130899018824e-04	1.369639e+01	1.609622e+01	2.713725e-03
5.228226433851197e-04	1.463956e+01	1.716973e+01	2.901157e-03
5.828226433851199e-04	1.645250e+01	1.922375e+01	3.260973e-03
6.428226433851201e-04	1.828678e+01	2.128979e+01	3.623320e-03
7.028226433851202e-04	2.014097e+01	2.336657e+01	3.987733e-03
7.828226433851204e-04	2.264149e+01	2.614993e+01	4.476335e-03
8.828226433851207e-04	2.580747e+01	2.964771e+01	5.090595e-03
9.828226433851210e-04	2.901177e+01	3.316042e+01	5.707700e-03
1.062822643385121e-03	3.159823e+01	3.597733e+01	6.202713e-03
1.082822643385121e-03	3.224730e+01	3.668203e+01	6.327696e-03
1.085322643385121e-03	3.232832e+01	3.677002e+01	6.345544e-03
1.090322643385121e-03	3.248952e+01	3.694550e+01	6.396375e-03
1.093311412246540e-03	3.258448e+01	3.704964e+01	6.453075e-03
1.096511502930151e-03	3.268331e+01	3.715960e+01	6.560326e-03
1.100019367454297e-03	3.278663e+01	3.727746e+01	6.766444e-03
1.103696360620736e-03	3.288903e+01	3.739816e+01	7.130640e-03
1.104683677637150e-03	3.291426e+01	3.742932e+01	7.261125e-03
1.104713737583202e-03	3.291389e+01	3.742953e+01	7.271269e-03
1.104758029851008e-03	3.290872e+01	3.742700e+01	7.386440e-03
1.104778812015479e-03	3.289919e+01	3.742139e+01	7.576264e-03
1.104797526862673e-03	3.287677e+01	3.740776e+01	8.031192e-03
1.104811732475550e-03	3.284045e+01	3.738543e+01	8.771854e-03
1.104825171021218e-03	3.277459e+01	3.734474e+01	1.008663e-02
1.104838722699665e-03	3.265514e+01	3.727087e+01	1.245948e-02
1.104852529540986e-03	3.243874e+01	3.713694e+01	1.668776e-02
1.104867821355230e-03	3.202679e+01	3.688270e+01	2.495046e-02
1.104881839088793e-03	3.139292e+01	3.649226e+01	3.774046e-02
1.104896790536511e-03	3.031295e+01	3.582907e+01	5.978722e-02
1.104911368331562e-03	2.873214e+01	3.486257e+01	9.251582e-02
1.104927199449747e-03	2.637325e+01	3.343038e+01	1.423149e-01
1.104944007367451e-03	2.336469e+01	3.162398e+01	2.073876e-01
1.104959780448378e-03	2.042676e+01	2.987090e+01	2.688984e-01
1.104967274529223e-03	1.920251e+01	2.912129e+01	2.951571e-01
1.104978682787886e-03	1.773000e+01	2.818062e+01	3.278635e-01
1.104986266549273e-03	1.698140e+01	2.769919e+01	3.438136e-01
1.104995100811731e-03	1.637968e+01	2.731445e+01	3.576232e-01
1.105012769336646e-03	1.562457e+01	2.683096e+01	3.753293e-01
1.105040062478240e-03	1.496861e+01	2.641025e+01	3.889969e-01
1.105068319192259e-03	1.463428e+01	2.619547e+01	3.956620e-01
1.105108424745934e-03	1.442948e+01	2.606461e+01	3.999092e-01
1.105164983770178e-03	1.431515e+01	2.599169e+01	4.021605e-01
1.105248449318064e-03	1.425884e+01	2.595671e+01	4.032254e-01
1.105377104761871e-03	1.423515e+01	2.594309e+01	4.037070e-01
1.108282397595304e-03	1.422296e+01	2.597590e+01	4.055332e-01
1.354073793031684e-03	1.424294e+01	2.937744e+01	5.429917e-01
1.614073793031684e-03	1.425955e+01	3.284249e+01	6.828057e-01
1.894073793031685e-03	1.427379e+01	3.639771e+01	8.260354e-01
2.194073793031686e-03	1.428618e+01	3.997535e+01	9.699963e-01
2.554073793031687e-03	1.429846e+01	4.391056e+01	1.128248e+00
2.954073793031688e-03	1.430940e+01	4.776912e+01	1.283458e+00
3.354073793031689e-03	1.431799e+01	5.102930e+01	1.414801e+00
3.774073793031690e-03	1.432492e+01	5.375324e+01	1.524929e+00
4.194073793031691e-03	1.432956e+01	5.571499e+01	1.604828e+00
4.614073793031692e-03	1.433249e+01	5.688083e+01	1.653196e+00
5.034073793031693e-03	1.433329e+01	5.723074e+01	1.669239e+00
5.454073793031694e-03	1.433246e+01	5.675874e+01	1.652725e+00
5.874073793031695e-03	1.432951e+01	5.547307e+01	1.603960e+00
6.034073793031696e-03	1.432793e+01	5.477347e+01	1.577065e+00
6.254073793031696e-03	1.432540e+01	5.362705e+01	1.532769e+00
6.614073793031697e-03	1.431986e+01	5.130406e+01	1.442549e+00
7.034073793031699e-03	1.431125e+01	4.792822e+01	1.310871e+00
7.434073793031700e-03	1.430087e+01	4.409761e+01	1.161034e+00
7.834073793031700e-03	1.428780e+01	3.972720e+01	9.897794e-01
8.234073793031683e-03	1.427122e+01	3.488485e+01	7.998394e-01
8.614073793031668e-03	1.425079e+01	2.991516e+01	6.048707e-01
8.994073793031652e-03	1.422163e+01	2.465316e+01	3.986908e-01
9.314073793031639e-03	1.418173e+01	2.003979e+01	2.188506e-01
9.454073793031634e-03	1.415228e+01	1.797082e+01	1.392340e-01
9.514073793031631e-03	1.413250e+01	1.706833e+01	1.052345e-01
9.554073793031630e-03	1.411187e+01	1.645009e+01	8.292748e-02
9.574073793031629e-03	1.410115e+01	1.612360e+01	7.234383e-02
9.594073793031628e-03	1.409115e+01	1.577802e+01	6.244416e-02
9.614073793031627e-03	1.409021e+01	1.541928e+01	5.316754e-02
9.634073793031626e-03	1.406904e+01	1.505626e+01	4.363747e-02
9.654073793031626e-03	1.405813e+01	1.469044e+01	3.444263e-02
9.674073793031625e-03	1.402569e+01	1.432053e+01	2.507528e-02
9.694073793031624e-03	1.399156e+01	1.394111e+01	1.614404e-02
9.714073793031623e-03	1.391973e+01	1.355128e+01	7.682665e-03
9.714112855531623e-03	1.392096e+01	1.355059e+01	7.640908e-03
9.714190980531624e-03	1.392231e+01	1.354897e+01	7.617813e-03
9.714347230531623e-03	1.392167e+01	1.354521e+01	7.587255e-03
9.716693025047060e-03	1.390696e+01	1.349544e+01	6.697826e-03
9.718986672923627e-03	1.388977e+01	1.344525e+01	5.880130e-03
9.723619415531713e-03	1.384899e+01	1.334108e+01	4.382453e-03
9.724528352630732e-03	1.383868e+01	1.331937e+01	4.124142e-03
9.725497885536350e-03	1.382667e+01	1.329566e+01	3.863747e-03
