time	V(a)	V(a1)
2.303813203323741e-02	7.679462e-02	2.094483e+01
2.335813203323739e-02	7.786129e-02	2.232800e+01
2.367813203323738e-02	7.892795e-02	2.348574e+01
2.401813203323737e-02	8.006128e-02	2.445578e+01
2.435813203323735e-02	8.119461e-02	2.514711e+01
2.469813203323734e-02	8.232794e-02	2.555183e+01
2.503813203323732e-02	8.346127e-02	2.566534e+01
2.537813203323731e-02	8.459461e-02	2.548633e+01
2.571813203323730e-02	8.572794e-02	2.501686e+01
2.605813203323728e-02	8.686127e-02	2.426226e+01
2.637813203323727e-02	8.792793e-02	2.329926e+01
2.669813203323726e-02	8.899459e-02	2.210101e+01
2.701813203323724e-02	9.006126e-02	2.067961e+01
2.731813203323723e-02	9.106126e-02	1.915712e+01
2.761813203323722e-02	9.206126e-02	1.746461e+01
2.797813203323720e-02	9.326126e-02	1.523042e+01
2.803813203323720e-02	9.346125e-02	1.483832e+01
2.805813203323720e-02	9.352792e-02	1.470643e+01
2.807813203323720e-02	9.359459e-02	1.457396e+01
2.811813203323720e-02	9.372792e-02	1.430728e+01
2.855813203323718e-02	9.519459e-02	1.123417e+01
2.899813203323716e-02	9.666125e-02	7.946742e+00
2.943813203323714e-02	9.812791e-02	4.507712e+00
2.985813203323713e-02	9.952791e-02	1.143835e+00
2.997813203323712e-02	9.992791e-02	1.765023e-01
3.005813203323712e-02	1.001946e-01	-4.686042e-01
3.041813203323710e-02	1.013946e-01	-3.362079e+00
3.083813203323709e-02	1.027946e-01	-6.680937e+00
3.125813203323707e-02	1.041946e-01	-9.883648e+00
3.167813203323706e-02	1.055946e-01	-1.291453e+01
3.193813203323705e-02	1.064612e-01	-1.468149e+01
3.195813203323705e-02	1.065279e-01	-1.481349e+01
3.199813203323704e-02	1.066612e-01	-1.507572e+01
3.209813203323704e-02	1.069946e-01	-1.572077e+01
3.249813203323702e-02	1.083279e-01	-1.813964e+01
3.279813203323701e-02	1.093279e-01	-1.976801e+01
3.311813203323700e-02	1.103946e-01	-2.131124e+01
3.343813203323698e-02	1.114612e-01	-2.263929e+01
3.375813203323697e-02	1.125279e-01	-2.373876e+01
3.407813203323696e-02	1.135945e-01	-2.459855e+01
3.441813203323695e-02	1.147279e-01	-2.523979e+01
3.475813203323693e-02	1.158612e-01	-2.559336e+01
3.509813203323692e-02	1.169945e-01	-2.565525e+01
3.543813203323690e-02	1.181279e-01	-2.542474e+01
3.577813203323689e-02	1.192612e-01	-2.490445e+01
3.609813203323688e-02	1.203279e-01	-2.415534e+01
3.641813203323686e-02	1.213945e-01	-2.316233e+01
3.673813203323685e-02	1.224612e-01	-2.193546e+01
3.705813203323684e-02	1.235279e-01	-2.048712e+01
3.735813203323683e-02	1.245279e-01	-1.894112e+01
3.767813203323681e-02	1.255945e-01	-1.710713e+01
3.789813203323680e-02	1.263279e-01	-1.574487e+01
3.795813203323680e-02	1.265279e-01	-1.536000e+01
3.797813203323680e-02	1.265945e-01	-1.523049e+01
3.799813203323680e-02	1.266612e-01	-1.510037e+01
3.807813203323680e-02	1.269279e-01	-1.457396e+01
3.851813203323678e-02	1.283945e-01	-1.152330e+01
3.895813203323676e-02	1.298612e-01	-8.252820e+00
3.939813203323674e-02	1.313278e-01	-4.824895e+00
3.983813203323672e-02	1.327945e-01	-1.304926e+00
3.997813203323672e-02	1.332612e-01	-1.764910e-01
4.005813203323672e-02	1.335278e-01	4.686159e-01
4.041813203323670e-02	1.347278e-01	3.362091e+00
4.049813203323670e-02	1.349945e-01	4.000546e+00
4.091813203323668e-02	1.363945e-01	7.301681e+00
4.133813203323666e-02	1.377945e-01	1.047588e+01
4.177813203323665e-02	1.392612e-01	1.360499e+01
4.201813203323664e-02	1.400612e-01	1.520601e+01
4.203813203323663e-02	1.401278e-01	1.533564e+01
4.205813203323663e-02	1.401945e-01	1.546467e+01
4.211813203323663e-02	1.403945e-01	1.584805e+01
4.255813203323661e-02	1.418612e-01	1.847884e+01
4.285813203323660e-02	1.428612e-01	2.007324e+01
4.315813203323659e-02	1.438612e-01	2.148950e+01
4.347813203323658e-02	1.449278e-01	2.278969e+01
4.379813203323656e-02	1.459945e-01	2.385978e+01
4.411813203323655e-02	1.470611e-01	2.468895e+01
4.443813203323654e-02	1.481278e-01	2.526885e+01
4.475813203323652e-02	1.491945e-01	2.559361e+01
4.507813203323651e-02	1.502611e-01	2.565996e+01
4.539813203323650e-02	1.513278e-01	2.546722e+01
4.571813203323648e-02	1.523945e-01	2.501734e+01
4.603813203323647e-02	1.534611e-01	2.431486e+01
4.635813203323646e-02	1.545278e-01	2.336688e+01
4.667813203323645e-02	1.555945e-01	2.218297e+01
4.697813203323643e-02	1.565945e-01	2.086937e+01
4.727813203323642e-02	1.575945e-01	1.937056e+01
4.759813203323641e-02	1.586611e-01	1.758270e+01
4.781813203323640e-02	1.593945e-01	1.624938e+01
4.787813203323640e-02	1.595945e-01	1.587200e+01
4.789813203323640e-02	1.596611e-01	1.574494e+01
4.793813203323639e-02	1.597944e-01	1.548894e+01
4.837813203323638e-02	1.612611e-01	1.252067e+01
4.881813203323636e-02	1.627278e-01	9.313541e+00
4.925813203323634e-02	1.641944e-01	5.928736e+00
4.969813203323632e-02	1.656611e-01	2.430828e+00
4.997813203323631e-02	1.665944e-01	1.764801e-01
5.005813203323631e-02	1.668611e-01	-4.686271e-01
5.041813203323629e-02	1.680611e-01	-3.362102e+00
5.083813203323628e-02	1.694611e-01	-6.680959e+00
5.125813203323626e-02	1.708611e-01	-9.883670e+00
5.167813203323624e-02	1.722611e-01	-1.291455e+01
