time	V(C,E)	V(p1)	Ic(Q1)
Step Information: Ib=11µ  (Step: 1/6)
4.077310719962645e-01	4.215819e-02	2.961345e+03	3.242118e-03
4.443310719962604e-01	4.888237e-02	2.778345e+03	3.445204e-03
4.760310719962569e-01	5.611224e-02	2.619845e+03	3.642591e-03
5.030310719962540e-01	6.386542e-02	2.484845e+03	3.829113e-03
5.101310719962532e-01	6.625208e-02	2.449345e+03	3.881294e-03
5.313310719962508e-01	7.463123e-02	2.343345e+03	4.045574e-03
5.485310719962490e-01	8.346542e-02	2.257345e+03	4.188809e-03
5.622310719962474e-01	9.272415e-02	2.188845e+03	4.309598e-03
5.730310719962463e-01	1.024442e-01	2.134845e+03	4.408936e-03
5.814310719962453e-01	1.126285e-01	2.092845e+03	4.488375e-03
5.878310719962446e-01	1.231660e-01	2.060845e+03	4.549683e-03
5.927310719962441e-01	1.341783e-01	2.036345e+03	4.596486e-03
5.965310719962437e-01	1.459035e-01	2.017345e+03	4.632026e-03
5.994310719962433e-01	1.581997e-01	2.002845e+03	4.657995e-03
6.017310719962431e-01	1.715385e-01	1.991345e+03	4.677139e-03
6.036310719962429e-01	1.865155e-01	1.981845e+03	4.691220e-03
6.052310719962427e-01	2.033354e-01	1.973845e+03	4.701159e-03
6.067310719962425e-01	2.236870e-01	1.966345e+03	4.708339e-03
6.084310719962424e-01	2.522984e-01	1.957845e+03	4.713856e-03
6.111310719962421e-01	3.056312e-01	1.944345e+03	4.718872e-03
6.125310719962419e-01	3.348924e-01	1.937345e+03	4.720713e-03
6.473310719962381e-01	1.081699e+00	1.763345e+03	4.760534e-03
7.036310719962319e-01	2.317298e+00	1.481845e+03	4.826176e-03
7.149310719962306e-01	2.569412e+00	1.425345e+03	4.839570e-03
7.929310719962220e-01	4.348581e+00	1.035345e+03	4.934095e-03
8.173310719962193e-01	4.919500e+00	9.133447e+02	4.964427e-03
9.168310719962084e-01	7.322177e+00	4.158446e+02	5.092080e-03
9.197310719962081e-01	7.394059e+00	4.013446e+02	5.095900e-03
9.998310719961992e-01	9.423018e+00	8.446400e-01	5.203697e-03
9.999310719961992e-01	9.425605e+00	3.446400e-01	5.203835e-03
1.000000000000000e+00	9.427387e+00	1.000000e-08	5.203929e-03
Step Information: Ib=25µ  (Step: 4/6)
0.000000000000000e+00	-9.017630e-03	5.000000e+03	1.958663e-03
5.433107199629356e-02	-6.615163e-03	4.728345e+03	2.068138e-03
1.005310719962949e-01	-4.393972e-03	4.497345e+03	2.171347e-03
1.558310719962922e-01	-1.480540e-03	4.220845e+03	2.309303e-03
2.029310719962870e-01	1.261063e-03	3.985345e+03	2.441428e-03
2.566310719962811e-01	4.742689e-03	3.716845e+03	2.611814e-03
3.053310719962757e-01	8.303981e-03	3.473345e+03	2.788302e-03
3.551310719962703e-01	1.244815e-02	3.224345e+03	2.995282e-03
4.022310719962651e-01	1.696944e-02	2.988845e+03	3.221452e-03
4.077310719962645e-01	1.754359e-02	2.961345e+03	3.250109e-03
4.514310719962596e-01	2.252625e-02	2.742845e+03	3.497289e-03
4.918310719962552e-01	2.795860e-02	2.540845e+03	3.761741e-03
5.101310719962532e-01	3.075940e-02	2.449345e+03	3.895134e-03
5.452310719962493e-01	3.691879e-02	2.273845e+03	4.179312e-03
5.766310719962459e-01	4.361658e-02	2.116845e+03	4.470960e-03
6.042310719962428e-01	5.087331e-02	1.978845e+03	4.762861e-03
6.125310719962419e-01	5.340227e-02	1.937345e+03	4.858170e-03
6.351310719962394e-01	6.143788e-02	1.824345e+03	5.137819e-03
6.540310719962373e-01	7.002557e-02	1.729845e+03	5.397045e-03
6.695310719962356e-01	7.917225e-02	1.652345e+03	5.629193e-03
6.819310719962343e-01	8.882978e-02	1.590345e+03	5.828772e-03
6.916310719962332e-01	9.894827e-02	1.541845e+03	5.993785e-03
6.991310719962324e-01	1.095732e-01	1.504345e+03	6.126435e-03
7.048310719962317e-01	1.206773e-01	1.475845e+03	6.229534e-03
7.091310719962313e-01	1.323099e-01	1.454345e+03	6.307716e-03
7.123310719962309e-01	1.443914e-01	1.438345e+03	6.365094e-03
7.147310719962306e-01	1.570210e-01	1.426345e+03	6.406589e-03
7.149310719962306e-01	1.582849e-01	1.425345e+03	6.409939e-03
7.167310719962304e-01	1.718324e-01	1.416345e+03	6.438859e-03
7.182310719962303e-01	1.874130e-01	1.408845e+03	6.460396e-03
7.194310719962301e-01	2.042706e-01	1.402845e+03	6.474874e-03
7.205310719962300e-01	2.243601e-01	1.397345e+03	6.485173e-03
7.218310719962299e-01	2.541741e-01	1.390845e+03	6.493394e-03
7.238310719962296e-01	3.085310e-01	1.380845e+03	6.500489e-03
7.432310719962275e-01	8.799495e-01	1.283845e+03	6.542910e-03
7.813310719962233e-01	2.025457e+00	1.093345e+03	6.626774e-03
8.173310719962193e-01	3.135133e+00	9.133447e+02	6.708021e-03
8.785310719962126e-01	5.085356e+00	6.073447e+02	6.850813e-03
9.197310719962081e-01	6.445693e+00	4.013446e+02	6.950415e-03
9.993310719961993e-01	9.189189e+00	3.344640e+00	7.151292e-03
9.999310719961992e-01	9.210469e+00	3.446400e-01	7.152850e-03
1.000000000000000e+00	9.212910e+00	1.000000e-08	7.153029e-03
Step Information: Ib=30µ  (Step: 5/6)
0.000000000000000e+00	-1.654605e-02	5.000000e+03	1.960126e-03
4.103107199629318e-02	-1.488150e-02	4.794845e+03	2.041773e-03
8.523107199629444e-02	-1.296523e-02	4.573845e+03	2.137702e-03
1.005310719962949e-01	-1.226908e-02	4.497345e+03	2.173045e-03
1.476310719962931e-01	-1.000773e-02	4.261845e+03	2.289585e-03
1.959310719962878e-01	-7.479243e-03	4.020345e+03	2.422844e-03
2.029310719962870e-01	-7.093037e-03	3.985345e+03	2.443456e-03
2.516310719962817e-01	-4.249044e-03	3.741845e+03	2.597184e-03
3.000310719962763e-01	-1.110507e-03	3.499845e+03	2.770427e-03
3.053310719962757e-01	-7.451382e-04	3.473345e+03	2.790813e-03
3.526310719962705e-01	2.735417e-03	3.236845e+03	2.986982e-03
3.984310719962655e-01	6.547019e-03	3.007845e+03	3.205148e-03
4.077310719962645e-01	7.383864e-03	2.961345e+03	3.253401e-03
4.511310719962597e-01	1.162558e-02	2.744345e+03	3.499253e-03
4.922310719962552e-01	1.626237e-02	2.538845e+03	3.768978e-03
5.101310719962532e-01	1.851740e-02	2.449345e+03	3.899898e-03
5.473310719962491e-01	2.378416e-02	2.263345e+03	4.203315e-03
5.815310719962453e-01	2.951788e-02	2.092345e+03	4.527076e-03
6.125310719962419e-01	3.574143e-02	1.937345e+03	4.866771e-03
6.405310719962388e-01	4.256043e-02	1.797345e+03	5.220420e-03
6.653310719962361e-01	4.999766e-02	1.673345e+03	5.579237e-03
6.868310719962337e-01	5.806477e-02	1.565845e+03	5.932313e-03
7.050310719962317e-01	6.675389e-02	1.474845e+03	6.267458e-03
7.149310719962306e-01	7.258700e-02	1.425345e+03	6.465723e-03
7.281310719962292e-01	8.229864e-02	1.359345e+03	6.749541e-03
7.385310719962280e-01	9.250502e-02	1.307345e+03	6.989969e-03
7.465310719962271e-01	1.031321e-01	1.267345e+03	7.185252e-03
7.526310719962265e-01	1.142506e-01	1.236845e+03	7.339710e-03
7.572310719962260e-01	1.259085e-01	1.213845e+03	7.458422e-03
7.606310719962256e-01	1.379954e-01	1.196845e+03	7.546195e-03
7.631310719962253e-01	1.504788e-01	1.184345e+03	7.609427e-03
7.650310719962251e-01	1.637886e-01	1.174845e+03	7.655331e-03
7.665310719962249e-01	1.785299e-01	1.167345e+03	7.688739e-03
7.677310719962248e-01	1.949228e-01	1.161345e+03	7.712132e-03
7.687310719962247e-01	2.133572e-01	1.156345e+03	7.728025e-03
7.697310719962246e-01	2.373031e-01	1.151345e+03	7.739674e-03
7.709310719962245e-01	2.727640e-01	1.145345e+03	7.748419e-03
