time	V(d)	V(g)	Id(J1)
Step Information: Vgs=-4  (Step: 1/5)
7.149310719962306e-01	1.429862e+01	-1.000000e+00	5.354892e-03
8.173310719962193e-01	1.634662e+01	-1.000000e+00	5.378671e-03
9.197310719962081e-01	1.839462e+01	-1.000000e+00	5.402447e-03
9.999310719961992e-01	1.999862e+01	-1.000000e+00	5.421069e-03
1.000000000000000e+00	2.000000e+01	-1.000000e+00	5.421085e-03
Step Information: Vgs=0  (Step: 5/5)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.310719962930308e-04	1.662144e-02	0.000000e+00	1.276954e-04
3.131071996293029e-03	6.262144e-02	0.000000e+00	4.775063e-04
6.931071996293036e-03	1.386214e-01	0.000000e+00	1.043877e-03
1.213107199629301e-02	2.426214e-01	0.000000e+00	1.795513e-03
1.873107199629297e-02	3.746215e-01	0.000000e+00	2.710514e-03
2.673107199629293e-02	5.346214e-01	0.000000e+00	3.761013e-03
3.593107199629303e-02	7.186214e-01	0.000000e+00	4.889523e-03
4.633107199629333e-02	9.266214e-01	0.000000e+00	6.062468e-03
5.773107199629365e-02	1.154621e+00	0.000000e+00	7.222539e-03
7.003107199629401e-02	1.400621e+00	0.000000e+00	8.326322e-03
8.313107199629438e-02	1.662621e+00	0.000000e+00	9.332512e-03
9.693107199629478e-02	1.938621e+00	0.000000e+00	1.020279e-02
1.005310719962949e-01	2.010622e+00	0.000000e+00	1.039771e-02
1.149310719962953e-01	2.298621e+00	0.000000e+00	1.104419e-02
1.296310719962951e-01	2.592621e+00	0.000000e+00	1.148355e-02
1.445310719962934e-01	2.890621e+00	0.000000e+00	1.170051e-02
2.029310719962870e-01	4.058621e+00	0.000000e+00	1.174997e-02
3.053310719962757e-01	6.106621e+00	0.000000e+00	1.180320e-02
4.077310719962645e-01	8.154621e+00	0.000000e+00	1.185643e-02
5.101310719962532e-01	1.020262e+01	0.000000e+00	1.190966e-02
6.125310719962419e-01	1.225062e+01	0.000000e+00	1.196288e-02
7.149310719962306e-01	1.429862e+01	0.000000e+00	1.201610e-02
8.173310719962193e-01	1.634662e+01	0.000000e+00	1.206931e-02
9.197310719962081e-01	1.839462e+01	0.000000e+00	1.212252e-02
9.999310719961992e-01	1.999862e+01	0.000000e+00	1.216419e-02
1.000000000000000e+00	2.000000e+01	0.000000e+00	1.216423e-02
