time	V(b1)	V(b2)	V(e)	V(rpot)	I(R3)	I(R4)	Ix(U1:B2)	Ix(U1:E)
1.261708100559061e-04	7.818555e-02	1.966770e+01	1.205287e+01	5.046832e+02	3.323012e-03	3.553889e-03	3.323012e-03	2.308880e-04
1.261708786630261e-04	8.199107e-02	1.966672e+01	1.205287e+01	5.046835e+02	3.332796e-03	3.726867e-03	3.332796e-03	3.940727e-04
1.261708958148061e-04	8.378321e-02	1.966640e+01	1.205287e+01	5.046836e+02	3.335965e-03	3.808327e-03	3.335965e-03	4.724124e-04
1.261709301183661e-04	9.916031e-02	1.966540e+01	1.205287e+01	5.046837e+02	3.346029e-03	4.507287e-03	3.346029e-03	1.161408e-03
1.261709987254861e-04	1.985150e-01	1.966255e+01	1.205287e+01	5.046840e+02	3.374547e-03	9.023408e-03	3.374547e-03	5.649415e-03
1.261710366853297e-04	3.325773e-01	1.966075e+01	1.205286e+01	5.046841e+02	3.392555e-03	1.511715e-02	3.392555e-03	1.172573e-02
1.261710461752941e-04	4.017194e-01	1.966029e+01	1.205286e+01	5.046842e+02	3.397116e-03	1.825997e-02	3.397116e-03	1.486382e-02
1.261710651552228e-04	6.423457e-01	1.965944e+01	1.205285e+01	5.046843e+02	3.405548e-03	2.919753e-02	3.405548e-03	2.579228e-02
1.261711031150664e-04	1.357488e+00	1.965800e+01	1.205282e+01	5.046844e+02	3.419981e-03	6.170398e-02	3.419981e-03	5.828398e-02
1.261711382908731e-04	2.201074e+00	1.965695e+01	1.205276e+01	5.046845e+02	3.430483e-03	1.000488e-01	3.430483e-03	9.661796e-02
1.261711574785385e-04	2.681727e+00	1.965655e+01	1.205272e+01	5.046846e+02	3.434537e-03	1.218967e-01	3.434537e-03	1.184616e-01
1.261711755595196e-04	3.067076e+00	1.965629e+01	1.205267e+01	5.046847e+02	3.437072e-03	1.394126e-01	3.437072e-03	1.359751e-01
1.261711987503716e-04	3.422359e+00	1.965609e+01	1.205260e+01	5.046848e+02	3.439125e-03	1.555618e-01	3.439125e-03	1.521225e-01
1.261712280986177e-04	3.714269e+00	1.965593e+01	1.205250e+01	5.046849e+02	3.440683e-03	1.688304e-01	3.440683e-03	1.653881e-01
1.261712431966516e-04	3.804981e+00	1.965589e+01	1.205245e+01	5.046850e+02	3.441150e-03	1.729537e-01	3.441150e-03	1.695101e-01
1.261712735868836e-04	3.890844e+00	1.965584e+01	1.205234e+01	5.046851e+02	3.441596e-03	1.768565e-01	3.441596e-03	1.734127e-01
1.261713275911291e-04	3.941109e+00	1.965581e+01	1.205214e+01	5.046853e+02	3.441905e-03	1.791413e-01	3.441905e-03	1.756992e-01
1.261715801402477e-04	3.949616e+00	1.965577e+01	1.205120e+01	5.046863e+02	3.442303e-03	1.795280e-01	3.442303e-03	1.760856e-01
1.261718326893662e-04	3.955806e+00	1.965573e+01	1.205026e+01	5.046873e+02	3.442690e-03	1.798094e-01	3.442690e-03	1.763667e-01
1.261720852384847e-04	3.959679e+00	1.965569e+01	1.204933e+01	5.046883e+02	3.443066e-03	1.799854e-01	3.443066e-03	1.765425e-01
1.261723377876032e-04	3.961235e+00	1.965566e+01	1.204839e+01	5.046893e+02	3.443432e-03	1.800561e-01	3.443432e-03	1.766129e-01
1.261725903367218e-04	3.960473e+00	1.965562e+01	1.204745e+01	5.046904e+02	3.443787e-03	1.800215e-01	3.443787e-03	1.765779e-01
1.261728428858403e-04	3.957395e+00	1.965559e+01	1.204651e+01	5.046914e+02	3.444131e-03	1.798816e-01	3.444131e-03	1.764376e-01
1.261730954349588e-04	3.952000e+00	1.965555e+01	1.204557e+01	5.046924e+02	3.444465e-03	1.796364e-01	3.444465e-03	1.761919e-01
1.262920310609000e-04	3.796007e+00	1.963927e+01	1.161741e+01	5.051681e+02	3.607256e-03	1.725458e-01	3.607256e-03	1.689385e-01
1.264109666868411e-04	3.647109e+00	1.962374e+01	1.120865e+01	5.056439e+02	3.762634e-03	1.657777e-01	3.762634e-03	1.620148e-01
1.265299023127823e-04	3.505305e+00	1.960894e+01	1.081930e+01	5.061196e+02	3.910600e-03	1.593321e-01	3.910600e-03	1.554208e-01
1.266488379387234e-04	3.370596e+00	1.959488e+01	1.044936e+01	5.065954e+02	4.051155e-03	1.532089e-01	4.051155e-03	1.491565e-01
1.267677735646646e-04	3.242981e+00	1.958157e+01	1.009882e+01	5.070711e+02	4.184297e-03	1.474083e-01	4.184297e-03	1.432220e-01
1.268867091906057e-04	3.122461e+00	1.956900e+01	9.767690e+00	5.075468e+02	4.310026e-03	1.419301e-01	4.310026e-03	1.376172e-01
1.270056448165469e-04	3.009036e+00	1.955717e+01	9.455966e+00	5.080226e+02	4.428344e-03	1.367744e-01	4.428344e-03	1.323421e-01
1.278398234532963e-04	2.318782e+00	1.948521e+01	7.558416e+00	5.113593e+02	5.147891e-03	1.053992e-01	5.147891e-03	1.002444e-01
1.289801887446457e-04	1.629335e+00	1.941349e+01	5.662022e+00	5.159208e+02	5.865133e-03	7.406069e-02	5.865133e-03	6.819333e-02
1.302786419396240e-04	1.102482e+00	1.935891e+01	4.212412e+00	5.211146e+02	6.410902e-03	5.011283e-02	6.410902e-03	4.370248e-02
1.314911056879281e-04	7.885099e-01	1.932672e+01	3.350813e+00	5.259644e+02	6.732857e-03	3.584136e-02	6.732857e-03	2.910826e-02
